seed_id,question,seed_answer,tracked_claim,verification_status,verification_reason,queries,sources
seedfb_moderate_003,please give me the top 50 living expense countries.,"Here's a list of the **top 50 countries with the highest cost of living** (most expensive to least expensive among the top 50), based on the latest Numbeo Cost of Living Index data (2024–2025).

### Top 50 Most Expensive Countries

| Rank | Country                  | Cost of Living Index | Notes |
|------|--------------------------|----------------------|-------|
| 1    | Switzerland              | 114.4                | Consistently #1 |
| 2    | Bahamas                  | 109.5                | Very high due to imports |
| 3    | Iceland                  | 107.8                | High prices for food & housing |
| 4    | Singapore                | 105.3                | Extremely expensive housing |
| 5    | Norway                   | 104.2                | High taxes and salaries |
| 6    | Denmark                  | 100.8                | Very high consumer prices |
| 7    | Luxembourg               | 99.7                 | High salaries offset costs |
| 8    | Israel                   | 98.4                 | Strong economy, high housing |
| 9    | Australia                | 96.8                 | Especially Sydney & Melbourne |
| 10   | United States            | 96.2                 | Varies greatly by state/city |
| 11   | New Zealand              | 95.1                 | High in Auckland/Wellington |
| 12   | Ireland                  | 94.7                 | Very expensive housing |
| 13   | Netherlands              | 92.9                 | High in Amsterdam & major cities |
| 14   | Sweden                   | 92.3                 | High taxes |
| 15   | Finland                  | 91.8                 | Expensive groceries & housing |
| 16   | Canada                   | 90.5                 | Especially Vancouver & Toronto |
| 17   | United Kingdom           | 89.7                 | London drives up average |
| 18   | Germany                  | 88.4                 | Higher in Munich & Frankfurt |
| 19   | France                   | 87.9                 | Paris is very expensive |
| 20   | Belgium                  | 87.2                 | High in Brussels |
| 21   | Austria                  | 86.8                 | Expensive in Vienna & Innsbruck |
| 22   | Japan                    | 85.6                 | Tokyo & Osaka are costly |
| 23   | South Korea              | 84.9                 | Seoul is very expensive |
| 24   | Italy                    | 83.7                 | High in Milan & Rome |
| 25   | Qatar                    | 82.4                 | High for expats |
| 26   | United Arab Emirates     | 81.9                 | Dubai & Abu Dhabi |
| 27   | Malta                    | 80.8                 | Small island economy |
| 28   | Spain                    | 79.6                 | High in Madrid & Barcelona |
| 29   | Estonia                  | 78.3                 | Rising fast |
| 30   | Slovenia                 | 77.9                 | Surprisingly high |
| 31   | Greece                   | 76.8                 | Higher than expected |
| 32   | Cyprus                   | 76.4                 | Popular with expats |
| 33   | Czech Republic           | 75.2                 | Prague is expensive |
| 34   | Portugal                 | 74.8                 | Rising rapidly (Lisbon) |
| 35   | Lithuania                | 73.9                 | Increasing steadily |
| 36   | Latvia                   | 73.1                 | Moderate but rising |
| 37   | Slovakia                 | 72.6                 | Bratislava drives cost |
| 38   | Poland                   | 71.8                 | Warsaw and Kraków increasing |
| 39   | Hungary                  | 70.9                 | Budapest is getting expensive |
| 40   | Croatia                  | 70.2                 | Popular tourist destination |
| 41   | Bulgaria                 | 68.7                 | Lower than Western Europe |
| 42   | Romania                  | 67.9                 | Bucharest is relatively affordable |
| 43   | Turkey                   | 67.3                 | Inflation affects ranking |
| 44   | Serbia                   | 66.5                 | Belgrade is affordable |
| 45   | Bosnia and Herzegovina   | 65.8                 | Low cost relative to EU |
| 46   | North Macedonia          | 65.1                 | One of the cheaper in Europe |
| 47   | Albania                  | 64.7                 | Very affordable |
| 48   | Montenegro               | 64.3                 | Growing tourism impact |
| 49   | Moldova                  | 63.8                 | One of Europe's cheapest |
| 50   | Ukraine                  | 63.2                 | War-affected but still low |

### Key Notes:
- **Source**: Primarily based on **Numbeo** Cost of Living Index (most up-to-date crowdsourced data).
- These rankings reflect **overall cost of living** including rent, groceries, restaurants, and utilities.
- City prices (e.g., Zurich, Singapore, New York, Oslo) are often much higher than the national average.
- Rankings can shift slightly every few months due to inflation, currency changes, and new data.

Would you like this list sorted by a specific category (e.g., groceries only, rent only, or for expats)?",The list shows the top 50 countries with the highest cost of living.,VERIFIED_FALSE,"Numbeo's Cost of Living by Country ranking (retrieved) does not match the provided list: Numbeo ranks Bermuda and Cayman Islands above Switzerland and places the Bahamas lower (e.g., Bermuda #1, Cayman Islands #2, Switzerland #3), contradicting the claim that the provided list shows the top 50 countries by cost of living.",list top fifty countries highest cost of living Mercer Numbeo EIU ranking 2024 cost of living index,https://www.numbeo.com/cost-of-living/rankings_by_country.jsp (Cost of Living Index by Country 2026 Mid-Year)
seedfb_moderate_006,Give me top 20 brands for laptops,"Here are the **top 20 laptop brands** in 2025, ranked by a combination of global market share, build quality, performance, innovation, and customer satisfaction:

| Rank | Brand          | Best Known For                  | Target Audience          |
|------|----------------|---------------------------------|--------------------------|
| 1    | **Apple**      | MacBook series                  | Professionals, Creatives |
| 2    | **Dell**       | XPS, Inspiron, Latitude         | All segments             |
| 3    | **Lenovo**     | ThinkPad, Yoga, Legion          | Business & Gaming        |
| 4    | **HP**         | Spectre, Envy, Omen             | All segments             |
| 5    | **ASUS**       | Zenbook, ROG, TUF               | Gaming & Productivity    |
| 6    | **Acer**       | Swift, Predator, Aspire         | Budget & Gaming          |
| 7    | **Microsoft**  | Surface Laptop & Studio         | Professionals            |
| 8    | **Samsung**    | Galaxy Book series              | Premium & Ecosystem      |
| 9    | **MSI**        | Stealth, Raider, Modern         | Gaming & Content Creation|
| 10   | **Razer**      | Blade series                    | Premium Gaming           |
| 11   | **LG**         | Gram series                     | Ultraportable            |
| 12   | **Huawei**     | MateBook series                 | Premium Productivity     |
| 13   | **Alienware**  | x14, x16, m-series              | High-end Gaming          |
| 14   | **Gigabyte**   | Aorus, Aero                     | Gaming & Creator         |
| 15   | **Xiaomi**     | Mi Notebook / RedmiBook         | Value for Money          |
| 16   | **Toshiba**    | Dynabook                        | Business                 |
| 17   | **Framework**  | Modular/Repairable laptops      | Sustainability           |
| 18   | **Panasonic**  | Toughbook                       | Rugged / Business        |
| 19   | **Sony**       | VAIO (now under different ownership) | Premium (Japan)     |
| 20   | **Honor**      | MagicBook series                | Value Premium            |

### Quick Notes:
- **Top 5** (Apple, Dell, Lenovo, HP, ASUS) dominate global sales.
- **Gaming-focused**: ASUS, MSI, Razer, Alienware, Gigabyte.
- **Best build quality**: Apple, Dell XPS, Lenovo ThinkPad, LG Gram, Framework.
- **Best value**: Acer, ASUS, Xiaomi, Honor.

Would you like this list filtered by **category** (e.g., best gaming, best business, best budget)?",ASUS is ranked 5 on the list.,VERIFIED_FALSE,"PCMag's 'The Best Tech Brands for 2025' ranks Asus at #14 on its list, not #5, so the proposition that 'ASUS is ranked 5 on the list' is contradicted by this source.",ASUS ranking ranked fifth list 2024 top companies list review tech brand rankings | ASUS ranked fifth position ranking list tech brands 2024 2025 review ranking report Asus placed fifth,https://www.pcmag.com/articles/best-tech-brands-2025 (The Best Tech Brands for 2025 - PCMag)
seedfb_hard_009,What are the strongest countries in Civilization 5?,"**Strongest Civilizations in Civilization V**

Strength in Civ 5 depends on the map, victory type, and whether you're playing single-player (especially Deity) or multiplayer. That said, the community generally agrees on a fairly consistent tier list based on unique abilities, units, and overall snowball potential.

### Top Tier (S-Tier / Strongest)
These are the civs that consistently perform at the highest level across most games:

| Rank | Civilization | Why They're Strong | Best Victory Types |
|------|--------------|---------------------|--------------------|
| 1 | **Poland** | Free Social Policy every time you complete a tree + strong unique unit (Winged Hussar). Extremely flexible and powerful in almost any game. | Any |
| 2 | **Babylon** | Free Great Scientist at Writing + excellent science bonuses. Snowballs into a massive tech lead very early. | Science / Domination |
| 3 | **Korea** | +2 Science from Specialists + Seowon building. One of the most consistent science civs in the game. | Science |
| 4 | **Shoshone** | Pathfinder (strong early scout) + bonus land when settling. Excellent early game advantage. | Any (especially tall) |
| 5 | **Inca** | Terrace Farms let you turn hills into incredible food/production tiles. Extremely strong on hill-heavy maps. | Any |

### High Tier (A-Tier)
These are very strong and often win games, though slightly more situational than the top 5:

- **Austria** — City-State marriage is incredibly powerful for diplomacy and military.
- **Venice** — Trade empire + double trade routes. Excellent for diplomatic victory.
- **Maya** — Pyramids give early science and Great People points. Very strong tall play.
- **Ethiopia** — Strong defensive bonuses and tall empire bonuses. Excellent on Deity.
- **Morocco** — Kasbahs turn desert into strong tiles. Very good on desert maps.
- **Netherlands** — Polders are one of the best unique improvements in the game.
- **England** — Ship of the Line + longbowmen. Dominant on naval or island maps.
- **Arabia** — Camel Archer + strong trade route bonuses. Great for both war and economy.

### Strong Situational Picks (B-Tier)
- **Mongolia** (Keshik rush)
- **Germany** (Hanse + Panzer)
- **China** (Chu-Ko-Nu + Paper Maker)
- **Indonesia** (Candi + strong naval)
- **Rome** (Legions + roads)
- **Sweden** (Carolean + Great General bonuses)

### Quick Recommendations by Victory Type

- **Science**: Babylon > Korea > Maya > Poland
- **Domination**: Poland > Mongolia > England > Arabia
- **Diplomacy**: Venice > Austria > Siam
- **Culture**: Poland > Brazil > France
- **Tall Play**: Inca > Maya > Ethiopia > Korea

**Note**: Poland is widely considered the best ""all-rounder"" because the free policies let you adapt to whatever victory condition the map favors. Babylon is the king of snowballing into an unstoppable science lead.

Would you like recommendations based on a specific victory type, map type, or difficulty?",Poland gives a free Social Policy every time you complete a tree.,VERIFIED_FALSE,"Civilization V's Poland UA grants a free Social Policy when you advance to the next era, not every time you complete a social policy tree; the retrieved game descriptions explicitly state the free policy is tied to era advancement.",Poland social policy complete a tree videogame 'social policy' 'complete a tree' Poland,Polish (Civ5) - Civilization Wiki - Fandom: https://civilization.fandom.com/wiki/Polish_(Civ5) | CivFanatics forum (Poland Social Policies discussion): https://forums.civfanatics.com/threads/poland-social-policies.507656/
seedfb_hard_012,Who created the Transformer architecture?,"The Transformer architecture was introduced in the 2017 paper *""Attention Is All You Need""* by a team of researchers at Google (primarily from Google Brain):

- **Ashish Vaswani** (lead author)
- Noam Shazeer
- Niki Parmar
- Jakob Uszkoreit
- Llion Jones
- Aidan N. Gomez
- Łukasz Kaiser
- Illia Polosukhin

It is often referred to as a Google creation, with Vaswani et al. as the credited authors.",Ashish Vaswani was the lead author of the paper.,VERIFIED_FALSE,"The paper itself states the authors are ""Equal contribution. Listing order is random."" and secondary sources note all eight authors were equal contributors, so Ashish Vaswani is not identified as a lead author.",Ashish Vaswani lead author Transformer paper 2017 attention is all you need,Attention Is All You Need (PDF) — https://papers.neurips.cc/paper/7181-attention-is-all-you-need.pdf | Wikipedia — Attention Is All You Need: https://en.wikipedia.org/wiki/Attention_Is_All_You_Need
seedfb_moderate_012,What is the difference between GDPR and DPDP 2023 India?,"Here's a clear comparison between **GDPR** (EU) and **DPDP Act, 2023** (India):

### 1. **Overview**
| Aspect              | **GDPR**                                      | **DPDP Act, 2023**                              |
|---------------------|-----------------------------------------------|-------------------------------------------------|
| Full Name           | General Data Protection Regulation            | Digital Personal Data Protection Act, 2023      |
| Effective           | May 2018                                      | August 2023 (rules still being notified)        |
| Nature              | Comprehensive & prescriptive                  | Relatively simpler and principle-based          |

### 2. **Key Differences**

| Parameter                        | **GDPR**                                                                 | **DPDP Act, 2023**                                                                 |
|----------------------------------|--------------------------------------------------------------------------|------------------------------------------------------------------------------------|
| **Scope**                        | Applies to **all personal data** (digital + non-digital)                 | Applies only to **digital personal data**                                          |
| **Territorial Application**      | Applies if data of EU residents is processed                             | Applies if data of individuals in India is processed                               |
| **Key Terms**                    | Data Controller, Data Processor, Data Subject                            | **Data Fiduciary**, Data Processor, **Data Principal**                             |
| **Consent Standard**             | Must be **freely given, specific, informed, unambiguous**                | Must be **free, specific, informed, unconditional, clear**                         |
| **Deemed Consent**               | Not available                                                            | Available (e.g., employment, medical emergencies, government benefits)             |
| **Cross-border Data Transfer**   | Allowed to countries with adequacy or using SCCs/BCRs                    | Allowed to all countries **except** those blacklisted by the government            |
| **Data Localisation**            | No strict localisation requirement                                       | Government can restrict transfer of certain data                                   |
| **Rights of Individuals**        | Strong rights (Access, Erasure, Portability, Objection, Restriction)     | Limited rights (Access, Correction, Erasure, Grievance Redressal)                  |
| **Data Protection Officer**      | Mandatory in many cases                                                  | Mandatory only for **Significant Data Fiduciaries**                                |
| **Data Protection Impact Assessment** | Required in high-risk cases                                         | Not explicitly required                                                        |
| **Breach Notification**          | Notify DPA within **72 hours**                                           | Notify Data Protection Board **""without delay""**                                   |
| **Penalties**                    | Up to **€20 million or 4% of global turnover**                           | Up to **₹250 crore** (~$30 million) per instance                                   |
| **Children’s Data**              | Requires parental consent under certain conditions                       | Verifiable consent required + restrictions on tracking and targeted ads            |
| **Automated Decision Making**    | Right to not be subject to solely automated decisions                    | No explicit right provided                                                         |

### 3. **Summary of Major Differences**

| Aspect                        | GDPR (Stricter)                              | DPDP (Relatively Lighter)                     |
|-------------------------------|----------------------------------------------|-----------------------------------------------|
| **Complexity**                | Very detailed and compliance-heavy           | Simpler and less prescriptive                 |
| **Consent**                   | Very strict                                  | More flexible (deemed consent allowed)        |
| **Rights**                    | Broader rights to individuals                | Fewer rights compared to GDPR                 |
| **Penalties**                 | Much higher (percentage of global revenue)   | Capped at ₹250 crore                          |
| **Cross-border Transfers**    | Complex (adequacy + SCCs)                    | Simpler (blacklist model)                     |
| **Compliance Burden**         | Higher                                       | Relatively lower                              |

### Quick Verdict

- **GDPR** is more **comprehensive, rights-heavy**, and has **higher penalties**.
- **DPDP** is **simpler**, more **business-friendly**, and gives the government more control over data transfers.

Would you like a more detailed comparison on any specific area (like consent, penalties, or cross-border transfers)?","DPDP Act, 2023 became effective in August 2023",VERIFIED_FALSE,"The Act was enacted and published on 11 August 2023, but Section 1(2) states it 'shall come into force on such date as the Central Government may, by notification in the Official Gazette, appoint', so it did not automatically become effective in August 2023.",DPDP Act 2023 effective date August 2023 Indian data protection law DPDP notification Gazette,"https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf (Gazette publication of the Digital Personal Data Protection Act, 2023)"
seedfb_hard_014,give me a list of the top 10 most powerful sportbikes in 2023,"**Top 10 Most Powerful Sportbikes of 2023** (ranked by claimed peak horsepower):

1. **Ducati Panigale V4 R** – 234 hp  
   (Race kit version; the most powerful production sportbike of 2023)

2. **Aprilia RSV4 Factory** – 217 hp  
   (Updated 1103 cc V4 with excellent electronics)

3. **Honda CBR1000RR-R Fireblade SP** – 215 hp  
   (High-revving inline-four with MotoGP-derived tech)

4. **BMW M 1000 RR** – 210 hp  
   (Lightweight carbon parts and winglets for track use)

5. **Kawasaki Ninja ZX-10R** – 203 hp  
   (Reliable superstock favorite with strong mid-range)

6. **Yamaha YZF-R1M** – 200 hp  
   (Crossplane crankshaft with advanced electronics package)

7. **Suzuki GSX-R1000R** – 199 hp  
   (Variable Valve Timing for broad power delivery)

8. **Ducati Panigale V4 S** – 214 hp  
   (Standard V4 (non-R) still extremely potent)

9. **BMW S 1000 RR** – 205 hp  
   (Non-M version, nearly as powerful as the M 1000 RR)

10. **Kawasaki Ninja ZX-10RR** – 203 hp  
    (Limited-edition track version of the ZX-10R)

### Quick Notes:
- Horsepower figures are manufacturer-claimed (crank) numbers for 2023 models.
- The Ducati Panigale V4 R dominates the top spot when equipped with its full race exhaust and ECU.
- Real-world wheel horsepower will be 10–15% lower after drivetrain losses.
- Power alone doesn’t make a bike the “best” — electronics, chassis, and rider skill matter more on track.

Would you like a comparison focused on track performance, weight, or price instead?",Aprilia RSV4 Factory is an updated 1103 cc V4,VERIFIED_FALSE,"Manufacturer and technical sources list the RSV4 Factory as having a 1,099 cc (often shown as 1099 cc) V4, not 1,103 cc—so the 1103 cc displacement in the proposition is contradicted by authoritative specs.",Aprilia RSV4 Factory engine displacement V4 updated 2023 1103 cc technical specifications,https://www.aprilia.com/en_EN/models/rsv4/rsv4-1100-4s4v-2025/ | https://en.wikipedia.org/wiki/Aprilia_RSV4 | https://www.webbikeworld.com/2023-aprilia-rsv4/
seedfb_moderate_018,Describe the MMLU benchmark for language models.,"MMLU (Massive Multitask Language Understanding) is a widely used benchmark for evaluating the knowledge and reasoning capabilities of large language models. Introduced in a 2021 paper by Dan Hendrycks and colleagues, it tests how well models can answer questions across a broad range of academic and professional subjects, simulating real-world multitask performance.

### Key Features
- **Scope**: It covers **57 subjects** spanning four broad categories:
  - **Humanities** (e.g., history, philosophy, literature)
  - **Social Sciences** (e.g., economics, psychology, sociology)
  - **STEM** (e.g., mathematics, physics, computer science, biology, chemistry, engineering)
  - **Other** (e.g., law, medicine, business, computer security, nutrition)

- **Format**: All questions are multiple-choice, typically with four options (A–D). The benchmark includes both factual recall and reasoning-heavy questions.

- **Size**: Approximately 15,908 questions total, divided into:
  - A small development set
  - A validation set
  - A held-out test set (used for official scoring)

- **Evaluation Settings**:
  - **Zero-shot**: The model answers without examples.
  - **Few-shot**: Usually 5-shot prompting (providing a few examples before the test question).
  - Some evaluations also use chain-of-thought prompting for harder subjects.

### Purpose and Significance
MMLU was designed to measure **pretrained knowledge** rather than a model’s ability to learn from instructions or fine-tuning. It emphasizes breadth over depth, making it a strong indicator of general world knowledge and problem-solving ability. High performance on MMLU (especially in the 80–90%+ range) is often seen as a sign that a model approaches or exceeds human-level performance on many academic tasks.

Because of its diversity and difficulty, MMLU has become a standard reporting metric in nearly all major language model papers (e.g., GPT-4, Claude, Llama, Gemini, Mistral). Average accuracy across all 57 subjects is the usual headline score, though subject-level breakdowns are also commonly reported.",MMLU was introduced in a 2021 paper by Dan Hendrycks and colleagues.,VERIFIED_FALSE,"The original MMLU benchmark was released in 2020, not 2021: the arXiv preprint by Dan Hendrycks et al. is dated 2020 and sources state the benchmark was released on 7 September 2020.",MMLU benchmark Dan Hendrycks 2021 paper introduction,"https://arxiv.org/abs/2009.03300 (Measuring Massive Multitask Language Understanding, Dan Hendrycks et al.) | https://en.wikipedia.org/wiki/MMLU (MMLU entry)"
seedfb_hard_019,How big are the planets in the solar system?,"The planets in our solar system vary enormously in size. Here's a comparison using **equatorial diameter** (the most common way to express planetary size), listed from the Sun outward:

| Planet     | Equatorial Diameter | Relative to Earth | Notes |
|------------|---------------------|-------------------|-------|
| **Mercury**    | 4,879 km           | 0.38× Earth      | Smallest planet |
| **Venus**      | 12,104 km          | 0.95× Earth      | Nearly Earth-sized |
| **Earth**      | 12,742 km          | 1× Earth         | Reference |
| **Mars**       | 6,792 km           | 0.53× Earth      | About half Earth's diameter |
| **Jupiter**    | 139,820 km         | 11.0× Earth      | Largest planet (by far) |
| **Saturn**     | 120,536 km         | 9.5× Earth       | Second largest |
| **Uranus**     | 51,118 km          | 4.0× Earth       | Ice giant |
| **Neptune**    | 49,528 km          | 3.9× Earth       | Slightly smaller than Uranus |

### Quick Highlights
- **Terrestrial (rocky) planets** (Mercury, Venus, Earth, Mars): All relatively small, ranging from ~4,900 km to ~12,700 km across.
- **Gas and ice giants** (Jupiter through Neptune): Enormously larger. Jupiter alone could fit over 1,300 Earths inside it by volume.
- If you include dwarf planets, **Pluto** is only about 2,377 km across — smaller than Earth's Moon.

Would you like the sizes in miles, by volume/mass, or a comparison that includes the Sun and major moons as well?","Earth has an equatorial diameter of 12,742 km.",VERIFIED_FALSE,"Authoritative sources give Earth's equatorial diameter as about 12,756 km, not 12,742 km; 12,742 km is the commonly cited mean diameter, while the equatorial (widest) diameter is ~12,756 km (WGS‑84 / NASA).",Earth equatorial diameter value NASA Earth facts  equatorial radius equatorial diameter  reference,Facts About Earth — https://science.nasa.gov/earth/facts/ | How big is Earth? — https://www.space.com/17638-how-big-is-earth.html
seedfb_hard_020,What are some young soccer talents from lesser known teams?,"**Here are some promising young soccer talents (mostly under 21-22) from lesser-known or smaller clubs around the world.** These are players who have shown strong potential in lower divisions, emerging leagues, or smaller European/South American sides, often flying under the radar compared to those at mega-clubs like Real Madrid or Manchester City.

### South America
- **Matías Soulé** (Argentina, ~21, playing for Juventus but originally developed at smaller Argentine setups before moving) – Wait, better example from truly smaller clubs: Look at talents from Argentine Primera B or Brazilian Serie B like **Pedro Henrique** types from clubs such as Athletico-PR reserves or similar lower-profile sides. A current one to watch is prospects from clubs like **Avaí** or **Cruzeiro's youth** who break out in lower tiers.

More concrete lesser-known:
- Young attackers from Brazilian Serie B clubs like **Operário** or **Vila Nova** – players around 18-20 with pace and finishing who often get picked up by bigger Brazilian sides or Europe.

### Europe (smaller leagues or divisions)
- **Norwegian Eliteserien** or lower: Talents from clubs like **Sandefjord** or **Haugesund** – e.g., young midfielders or wingers with technical skill who stand out in scouting reports for their dribbling and vision despite playing in modest surroundings.
- **Eastern Europe/Scandinavia**: Players from Czech First League smaller teams or Polish Ekstraklasa mid-table sides (think 19-year-olds with strong physical profiles and goal contributions).

### Other regions
- African talents from local leagues or smaller academies in Ghana/Nigeria who haven't yet moved to top European clubs – often raw but athletic prospects spotted at youth tournaments.
- MLS Next Pro or lower European leagues: Young players from reserve teams or second-division sides in Portugal/Netherlands who show creativity.

To find more systematically:
- Check scouting platforms like Transfermarkt (filter by age <21 and market value under €5M), Wyscout highlights, or sites like Goal.com and The Athletic for ""hidden gems"" lists.
- Focus on leagues such as Brazilian Serie B/C, Argentine lower divisions, Norwegian/ Swedish top flights (smaller clubs), Belgian Pro League mid-table, or even English League One/Two.

These players often develop fast once they get minutes or a move to a slightly bigger club. If you're looking for a specific position, league, or region, give me more details and I can narrow it down!",Matías Soulé is Argentine and approximately 21 years old and playing for Juventus but originally developed at smaller Argentine setups before moving.,VERIFIED_FALSE,"Sources confirm Soulé is Argentine and developed at Kimberley and Vélez before moving to Juventus in January 2020, but current reliable entries list him as playing for AS Roma and his birth date (15 April 2003) makes him 23, so 'playing for Juventus' and 'approximately 21 years old' are contradicted by the retrieved evidence.",Matías Soulé biography nationality age Juventus youth development Argentine clubs,https://en.wikipedia.org/wiki/Mat%C3%ADas_Soul%C3%A9 | https://breakingthelines.com/@btl/matias-soule-the-heir-to-angel-di-marias-throne
seedfb_moderate_020,list all world religions concisely,"Here’s a concise list of the major world religions:

### Abrahamic Religions
- **Christianity** – ~2.4 billion followers
- **Islam** – ~2.0 billion followers
- **Judaism** – ~15 million followers

### Dharmic / Indian Religions
- **Hinduism** – ~1.2 billion followers
- **Buddhism** – ~500 million followers
- **Sikhism** – ~30 million followers
- **Jainism** – ~6 million followers

### East Asian Religions
- **Taoism** (Daoism)
- **Confucianism** (often viewed as a philosophy/ethical system)
- **Shinto**

### Other Notable Religions
- **Zoroastrianism** (ancient Persian religion)
- **Bahá’í Faith**
- **Cao Dai**
- **Tenrikyo**

**Note:** There are also thousands of indigenous, folk, tribal, and new religious movements (e.g., various African traditional religions, Native American religions, Wicca, Scientology, etc.) not listed here.",Buddhism has approximately 500 million followers.,VERIFIED_FALSE,"Recent estimates show the global Buddhist population is about 320–324 million as of 2020, which contradicts the claim of ~500 million followers.",global number of Buddhists estimate Pew Research Center Encyclopedia Britannica CIA World Factbook 2020 2010,"Pew Research Center — ""Buddhist population change"" (2025): https://www.pewresearch.org/religion/2025/06/09/buddhist-population-change/ | Wikipedia — ""Buddhism by country"": https://en.wikipedia.org/wiki/Buddhism_by_country"
